,title,description,video_id,epilepsy_mentioned
230,Tropkillaz - MAMBO [Bass Boosted],"Now playing: Tropkillaz - MAMBO [Bass Boosted] Happy new year everybody!! Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO ...",VMbzG9LyMYc,True
231,Playing games,Warning: This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy viewer discretion = advice.,NpQZp9dxYPw,True
232,FULL SCREEN Vomit Backdrop Visual - Demo Reel_ 2013 Highlights by  José Reyes Cortés,"FULL SCREEN Vomit Backdrop Visual - Demo Reel_ 2013 Highlights by José Reyes Cortés WARNING. This video has been identified by epilepsy action , to ...",frgTla66nTc,True
233,#Highlights,WARNING! This Video has been identified by EPILEPSY action to potentially trigger seizures for people with PHOTOSENSITIVE EPILEPSY.,VdfpY3Aqqcw,True
239,BOOL-IT BABES feat. GTZ // J.COLE x G.O.M.D,WARNING : This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is ...,JaP8vs9fvAs,True
241,Coolio - Gangsta's Paradise (Ricky West Remix) [Bass Boosted],"Halloween Special 1/4 Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...",IApoRigHfoo,True
243,Logic - 44 More [Bass Boosted],"Now playing: Logic - 44 More [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",f2iA0Ojozv8,True
244,Kulikitaka Ti (Jersey Club Remix) [Bass Boosted] @DayLyte,"Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...",81jV2aXr7B4,True
246,30/04/2016 VAZI brauc uz Latgali NO WOMAN NO CRY PIRMĀ DIENA,PARENTAL ADVISORY EXPLICIT CONTENT WARNING This video has been identified by epilepsy action to potentially trigger seizures for people with ...,_e6P3Oq_vUo,True
247,Ickoo - Alumptuious,"""Warning: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.",PArefulJ8qc,True
248,Yellow Claw & DJ Snake - Public Enemy (Darkest Light Remix) [Bass Boosted],"Now playing: Yellow Claw & DJ Snake - Public Enemy (Darkest Light Remix) [Bass Boosted] Requested by: Born Again Show more (epilepsy warning, credits ...",fud0HdTeTUk,True
249,HALLOWEEN BASS TEST!!!,"Now playing: Noxero - Fortuna W/ Highsky [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",PUhfDqH9pJ4,True
250,XXXTENTACION - SAD! (Jersey Club Remix) [Bass Boosted] @DJTAJ,"Now playing: XXXTENTACION - SAD! (Jersey Club Remix) [Bass Boosted] @DJTAJ Thanks for watching. Show more (epilepsy warning, credits and copyright).",8JhzlW41nD8,True
253,"Earth, Wind, And Fire - September (Suede Trap Remix) [Bass Boosted]","Now playing: Earth, Wind, And Fire - September (Suede Trap Remix) [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",WyGX5RVRBYY,True
